APB_LLRR_29|SERVEI_29|NUM_ESCALA_23|FECHA_ENTRADA|FECHA_SALIDA|NOM_VAIXELL_23
213||28352|19/10/2021 16;00|20/10/2021 08;00|X-PRESS MONTE BIANCO
233||29034|18/10/2021 19;00|19/10/2021 11;00|TEOMAN A
120||29114|14/10/2021 06;00|14/10/2021 20;00|MSC SANDRA
62||29028|03/10/2021 08;00|03/10/2021 14;00|EUROCARGO CAGLIARI
18||28765|02/11/2021 05;00|03/11/2021 05;00|JEBEL ALI
45||28558|01/10/2021 13;36|01/10/2021 23;00|RUTH BORCHARD
320||29218|07/10/2021 19;00|07/10/2021 22;45|CIUDAD DE PALMA
37||28788|03/11/2021 06;00|03/11/2021 14;00|SYNERGY ANTWERP
205||29202|06/10/2021 06;00|08/10/2021 20;00|BARBARA P
205||29203|14/10/2021 08;00|15/10/2021 20;00|JONA SOPHIE
217||29168|13/10/2021 06;00|13/10/2021 21;00|KONRAD
222||28890|03/10/2021 05;00|03/10/2021 19;00|LEYLA KALKAVAN
103||29121|14/10/2021 06;00|14/10/2021 20;00|MSC CANDICE
62||29237|08/10/2021 14;00|08/10/2021 20;00|ECO SAVONA
315||29153|02/10/2021 19;45|03/10/2021 22;30|ROSALIND FRANKLIN
318||29165|06/10/2021 19;00|06/10/2021 23;00|CRUISE ROMA
325||29074|04/10/2021 14;30|04/10/2021 16;30|CECILIA PAYNE
57||29078|11/10/2021 06;00|11/10/2021 20;00|MSC SIGMA F
7||28775|13/11/2021 05;00|14/11/2021 05;00|SEASPAN SAIGON
341||29144|07/10/2021 21;30|07/10/2021 23;30|GNV SEALAND
5||28910|29/10/2021 06;00|29/10/2021 14;00|L'AUDACE
238||28943|08/10/2021 06;00|08/10/2021 20;00|MSC ALBANY
222||29079|03/10/2021 12;00|04/10/2021 02;00|KRETA S
320||29227|09/10/2021 19;00|10/10/2021 22;45|VOLCAN DEL TEIDE
222||29181|13/10/2021 06;00|13/10/2021 14;00|PAULINE RUSS
57||28245|03/10/2021 06;00|03/10/2021 20;00|TOKATA
24||28542|06/10/2021 04;00|06/10/2021 20;00|CONMAR FJORD
222||28883|05/10/2021 12;00|05/10/2021 20;00|WILHELMINE
251||29138|10/11/2021 18;00|11/11/2021 14;30|CMA CGM LA TRAVIATA
213||29092|16/11/2021 16;00|17/11/2021 08;00|X-PRESS MONTE CERVIN
57||29177|02/10/2021 10;00|02/10/2021 20;00|MERITO
318||29012|01/10/2021 17;30|01/10/2021 23;00|CRUISE ROMA
151||28922|07/10/2021 08;00|08/10/2021 20;00|DORIS SCHEPERS
213||28354|14/10/2021 04;00|14/10/2021 20;00|X-PRESS VESUVIO
240||24961|12/10/2021 06;00|13/10/2021 06;00|OOCL FRANCE
101||27534|02/10/2021 18;00|03/10/2021 20;00|DALIAN EXPRESS
240||26531|02/10/2021 06;00|03/10/2021 02;00|CMA CGM SCANDOLA
120||28559|01/10/2021 13;12|02/10/2021 04;00|SEAMAX DARIEN
57||28560|02/10/2021 06;00|02/10/2021 20;00|MSC JENNY
14||27579|04/10/2021 06;00|04/10/2021 20;00|ZIM MONACO
